Matricule,AUT (h),Jours travaillés,Heures travaillées,Heures SUP 75%,Heures SUP SAMEDI,HEURE SUP DIMANCHE,Missions (h),Formations (h),Congés payés (h),MALADIE,Maternité,DECES 3J,NAISSANCE2/DECES2,Sanctions,mariage,Absence autorisée rémunérée,Congé sans solde,RCJ/RCA,Accidents,ABSENCE NON JUSTIFIE,Circoncision enfant,Service,Sous service,Section analytique,Site courant,Direction,Emploi type,Sexe du salarié
01240,2.00,21.69,200.32,,,,,,,,,,,,,,,,,,,DIR. CONTROLE DE GESTION,CONTOLE GESTION,LOGISTIQUE,KAL,GA,,Masculin
01250,,12.92,116.43,,,,,,9.00,87.33,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Féminin
01253,,21.00,194.71,2.00,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
01272,,20.86,188.74,,,,,,9.00,,,,,,,,,,,,,DIR. ADMIN ET FINANCIERE ,FINANCE,DAF,KAL,GA,,Féminin
01276,2.00,20.77,188.66,,,,,,9.00,,,,,,,,,,,,,DIR. INDUSTRIELLE,EHS,EHS,KAL,INDUS,EHS-MOI,Féminin
01279,3.50,20.51,185.83,,,,,,9.00,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
01286,,15.59,141.06,,,,,,22.50,,,,,,,,4.50,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Féminin
01293,,20.99,189.85,,,,,,9.00,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Féminin
01311,,17.97,165.18,,,,21.00,,13.50,,,,,,,,,,,,,DIR. INDUSTRIELLE,EHS,EHS,KAL,INDUS,EHS-MOI,Féminin
01317,,22.00,201.95,2.75,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Masculin
01319,1.50,20.72,186.54,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
01334,,21.50,193.50,,,,4.50,,,,,,,,,,,,,,,DIR. AFFAIRES REGLEMENTAIRE,AFFAIRES REGLEMENTAIRES,AFF-REG,LAC,RD,DIRECTEUR,Masculin
01336,2.00,20.78,193.25,,,,,,,,,,,,,,9.00,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOI,Féminin
01351,2.00,18.91,184.47,,,,,,4.50,,,,,,,,,9.00,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Masculin
01354,2.00,8.77,79.40,,,,,,,164.56,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Féminin
01355,2.00,20.75,187.47,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOI,Masculin
01378,,20.99,247.00,,,,,,5.50,,,,,22.00,,,,,,,,DIR. INDUSTRIELLE,EHS,EHS,KAL,INDUS,EHS-MOI,Masculin
01379,,21.87,251.81,,,,,,5.50,,,,,,,,,,,,,DIR. INDUSTRIELLE,EHS,EHS,KAL,INDUS,EHS-MOI,Masculin
01385,,5.00,45.14,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
01392,2.00,19.24,173.27,,,,12.00,,4.50,,,,,,,,,,,,,DIR. LOGISTIQUE,LOGISTIQUE,GRH,KAL,INDUS,,Masculin
01448,,20.99,190.40,1.00,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
01452,,20.81,188.39,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
