Matricule,AUT (h),Jours travaillés,Heures travaillées,Heures SUP 75%,Heures SUP SAMEDI,HEURE SUP DIMANCHE,Missions (h),Formations (h),Congés payés (h),MALADIE,Maternité,DECES 3J,NAISSANCE2/DECES2,Sanctions,mariage,Absence autorisée rémunérée,Congé sans solde,RCJ/RCA,Accidents,ABSENCE NON JUSTIFIE,Circoncision enfant,Service,Sous service,Section analytique,Site courant,Direction,Emploi type,Sexe du salarié
20042,,19.00,133.00,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_01,LAC2,FOE,,Féminin
20043,,19.00,133.00,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_01,LAC2,FOE,,Féminin
20044,,16.00,112.00,,,,,,21.00,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_07,LAC2,FOE,,Féminin
20045,,19.00,133.00,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_01,LAC2,FOE,,Féminin
20046,,18.00,126.00,,,,,,7.00,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_02,LAC2,FOE,,Féminin
20047,,18.00,126.00,,,,,,,,,,,,,,7.00,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_02,LAC2,FOE,,Féminin
20049,,19.00,133.00,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_08,LAC2,FOE,,Féminin
20050,,17.00,119.00,,,,,,14.00,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_02,LAC2,FOE,,Masculin
20051,,19.00,133.00,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_01,LAC2,FOE,SUP-MEDICA,Masculin
20052,,18.00,126.00,,,,,,,,,,,,,,7.00,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_01,LAC2,FOE,VISIT-MEDI,Masculin
20053,,19.00,133.00,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_09,LAC2,FOE,,Féminin
20054,,18.00,126.00,,,,,,,,,,,,,,7.00,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_01,LAC2,FOE,DELEGUE,Féminin
