Matricule,AUT (h),Jours travaillés,Heures travaillées,Heures SUP 75%,Heures SUP SAMEDI,HEURE SUP DIMANCHE,Missions (h),Formations (h),Congés payés (h),MALADIE,Maternité,DECES 3J,NAISSANCE2/DECES2,Sanctions,mariage,Absence autorisée rémunérée,Congé sans solde,RCJ/RCA,Accidents,ABSENCE NON JUSTIFIE,Circoncision enfant,Service,Sous service,Section analytique,Site courant,Direction,Emploi type,Sexe du salarié
00007,2,20.86,148.21,4,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOI,Masculin
00011,3,20.42,138.3,,,,1,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,EHS,EHS,KAL,INDUS,EHS-MOI,Féminin
00013,,19.33,136.26,,,,,,4.5,,,,,,,,,,,,,DIR. GENERALE,DIRECTION GENERALE,DG,LAC,GA,,Féminin
00041,2,20.64,150.06,,5,,,,,,,,,,,,,,,,,DIR. LOGISTIQUE,MAGASINS,WAREHOUSE,KAL,INDUS,MAG,Masculin
00042,,19.45,131.5,,,,,,9.75,,,,,,,,,,,,,DIR. ADMIN ET FINANCIERE ,PAIE ET CAISSE,DAF,KAL,GA,,Féminin
00075,,21,141.19,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOI,Féminin
00086,,19.5,132.88,,,,,,9.75,,,,,,,,,,,,,DIR. MANAGEMENT QUALITE,CONTROLE QUALITE,CQ,KAL,INDUS,,Féminin
00096,1.5,18.79,128,,,,,,13,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOI,Masculin
00107,0.5,19.93,138.17,2,,,,,6.5,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Masculin
00112,,21,149,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_12,LAC,FOE,FF-MANAGER,Masculin
00120,,21,139,,,,,,,,,,,,,,,,,,,DIR. ADMIN ET FINANCIERE ,DIRECTION ADMIN. ET FINANC.,DAF,KAL,GA,DIRECTEUR,Masculin
00134,,18.68,127.49,,,,,,9.75,,,,,,,,,6.5,,,,DIR. MANAGEMENT QUALITE,ASSURANCE QUALITE,MQU,KAL,INDUS,,Féminin
00210,,21,143.9,,,,,,,,,,,,,,,,,,,DIR. MANAGEMENT QUALITE,ASSURANCE QUALITE,MQU,KAL,INDUS,,Féminin
00221,,16.83,110.1,,,,,,28.5,,,,,,,,,,,,,DIR. MANAGEMENT QUALITE,CONTROLE QUALITE,CQ,KAL,INDUS,,Féminin
00230,2.5,20.72,145.55,,,,,,,,,,,,,,,,,,,DIR. ADMIN ET FINANCIERE ,COMPTABILITE,DAF,KAL,GA,,Masculin
00236,,14,100,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_14,LAC,FOE,PHARMA,Masculin
00236,,14,100,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_14,LAC,FOE,PHARMA,Masculin
00259,,21,149,,,,,,,,,,,,,,,,,,,DIR. INTERNATIONAL SALES,MARKETING,SHO-EXPORT,LAC,SHO,SA-MANAGER,Masculin
00265,1,20.86,139.39,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOD,Féminin
00294,1,18.86,128.55,,,,,,13,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Masculin
00300,1,20.85,140,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00303,1,20.86,141.92,,,,,,,,,,,,,,,,,,,DIR. MANAGEMENT QUALITE,ASSURANCE QUALITE,MQU,KAL,INDUS,,Féminin
00304,2,20.72,139.24,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00307,,21,147.27,,5.75,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00327,3,19.58,132.23,,,,,,,,,,,,,,,,,,,DIR. LOGISTIQUE,MAGASINS,WAREHOUSE,KAL,INDUS,,Féminin
00329,1,14.69,101.24,,,,6.5,,16.25,,,,,,,,,,,,,DIR. LOGISTIQUE,MAGASINS,WAREHOUSE,KAL,INDUS,MAG,Masculin
00332,2,20.68,155.51,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Masculin
00361,,12.82,87.23,,,,6.5,,48,,,,,,,,,,,,,DIR. ADMIN ET FINANCIERE ,ADMINISTRATION,AFF-JUR,KAL,GA,,Féminin
00372,2,20.71,140.39,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00386,,20.06,143.75,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,MARKETING,SHO,LAC,SHO,,Féminin
00396,,19.91,138.93,,,,,,,,,,,,,,,,,,,DIR. MANAGEMENT QUALITE,ASSURANCE QUALITE,MQU,KAL,INDUS,,Féminin
00399,,17,116.25,,,,,,13,,,,,,,,,,,,,DIR. MANAGEMENT QUALITE,CONTROLE QUALITE,COND-IIAIR,KAL,INDUS,,Féminin
00402,,21,149,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_08,LAC,FOE,SUP-MEDICA,Masculin
00417,,19,125.15,,,,,,,,,,,,,,15.5,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Féminin
00419,1,20.69,138.77,,7.25,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00420,,21,149,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,MARKETING,MKTNG-COM,LAC,SHO,FF-MANAGER,Masculin
00421,2,20.04,134.43,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOI,Féminin
00453,1,20.86,140.15,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00469,2.5,20.85,139.61,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Masculin
00480,4,19.44,133.7,3.25,,,,,9,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Masculin
00482,1,20.86,139.6,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00514,,21,139,,,,,,,,,,,,,,,,,,,DIR. LOGISTIQUE,IMPORT/EXPORT,LOGISTIQUE,KAL,INDUS,MAG,Masculin
00530,2,18.72,132.21,4.25,,,,,13,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Masculin
00574,,21,139,,,,,,,,,,,,,,,,,,,DIR. LOGISTIQUE,LOGISTIQUE,LOGISTIQUE,KAL,INDUS,DIRECTEUR,Masculin
00621,2,20.66,139.61,,,,,,,,,,,,,,,,,,,DIR. MANAGEMENT QUALITE,ASSURANCE QUALITE,LOGISTIQUE,KAL,INDUS,,Féminin
00669,,21,149,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_04,LAC,FOE,VISIT-MEDI,Masculin
00676,2,19.7,133.67,,,,,,6.5,,,,,,,,,,,,,DIR.  PRT,PHARMACIEN RESP. TECHNIQUE,PRT,KAL,INDUS,,Féminin
00677,2,16.3,110.83,,8.25,,3,,27,,,,,,,,,,,,,DIR. INDUSTRIELLE,EHS,EHS,KAL,INDUS,EHS-MOI,Féminin
00712,1,17.85,119,,,,,,9.75,,,,,,,,,,,,,DIR. LOGISTIQUE,MAGASINS,WAREHOUSE,KAL,INDUS,RMG,Masculin
00717,2,19.7,132.28,,,,,,6.5,,,,,,,,,,,,,DIR. MANAGEMENT QUALITE,CONTROLE QUALITE,CQ,KAL,INDUS,ANA,Féminin
00718,,19.97,135.48,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,MARKETING,LOGISTIQUE,LAC,SHO,,Féminin
00759,2,20.7,138.01,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Féminin
00804,2,20.72,140.98,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,EHS,EHS,KAL,INDUS,EHS-MOI,Féminin
00817,1,19.78,133.3,,,,,,,,,,,,,,6.5,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
00832,2,19.66,132.08,,,,,,6.5,,,,,,,,,,,,,DIR. INDUSTRIELLE,EHS,EHS,KAL,INDUS,EHS-MOI,Féminin
00833,,19.39,130.76,,,,5.25,,9,,,,,,,,,,,,,DIR. RESSOURCES HUMAINES,GESTION DU PERSONNEL,EHS,KAL,GA,,Féminin
