,HS JANV-DEC 2022,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Matricule,Ancienneté,Date d'ancienneté,N-J-W,HEURES TRAVAILLES,taux horaire,Sal_ Brut,HSUP75,NBREHS75,HSUP100,NBREHS100,TOTAL COST,TOTAL HS,DIRECTION II,Direction,Sous-service,Section analytique,Site,Emploi type
00453,19.39,9/1/2003,259.50,2076.81,60.518,,,,142.955,14.000,142.955,14.000,INDUS,011,28,COND-IIAIR,KAL,MOD
00469,19.09,12/16/2003,251.50,1954.13,90.973,,88.354,5.600,55.356,3.070,143.710,8.670,INDUS,011,28,FABRIQUANT,KAL,MOD
00480,19.04,1/5/2004,257.00,2128.99,73.598,,700.778,57.780,198.668,14.880,899.446,72.660,INDUS,011,28,FABRIQUANT,KAL,MOD
00482,19.04,1/6/2004,259.00,2049.44,54.053,,,,,,0.000,0.000,INDUS,011,28,COND-IIAIR,KAL,MOD
00492,8.39,9/9/2013,22.00,87.07,18.706,,,,,,0.000,0.000,INDUS,009,32,CQ,KAL,
00514,18.65,5/24/2004,264.00,2267.00,146.172,,,,,,0.000,0.000,INDUS,004,18,LOGISTIQUE,KAL,MAG
00530,10.97,1/23/2012,260.00,2102.46,89.975,,539.880,38.250,,,539.880,38.250,INDUS,011,28,FABRIQUANT,KAL,MOD
00574,14.06,12/22/2008,264.00,2078.00,497.034,,,,,,0.000,0.000,INDUS,004,26,LOGISTIQUE,KAL,DIRECTEUR
00621,17.27,10/10/2005,260.00,2092.10,70.231,,,,,,0.000,0.000,INDUS,009,33,LOGISTIQUE,KAL,
00669,16.79,4/3/2006,264.00,2147.00,158.358,,,,,,0.000,0.000,FOE,013,9,LINE_04,LAC,VISIT-MEDI
00676,16.69,5/9/2006,263.50,2140.80,54.238,,,,27.545,3.000,27.545,3.000,INDUS,014,13,PRT,KAL,
00677,14.23,10/21/2008,238.00,1837.83,38.802,,,,270.875,34.980,270.875,34.980,INDUS,011,31,EHS,KAL,EHS-MOI
00712,16.38,8/29/2006,246.00,1796.93,59.880,,,,,,0.000,0.000,INDUS,004,15,WAREHOUSE,KAL,RMG
00717,16.41,8/21/2006,252.50,1993.00,67.850,,,,280.343,23.150,280.343,23.150,INDUS,009,32,CQ,KAL,ANA
00718,16.41,8/21/2006,106.00,1921.78,65.604,,,,,,0.000,0.000,SHO,013,24,LOGISTIQUE,LAC,
00718,16.41,8/21/2006,152.00,1921.78,102.607,,,,,,0.000,0.000,SHO,013,24,LOGISTIQUE,LAC,
00759,16.00,1/15/2007,260.00,2039.88,64.052,,16.707,1.570,238.966,20.170,255.673,21.740,INDUS,011,28,FABRIQUANT,KAL,MOD
00804,15.57,6/21/2007,134.00,975.85,18.437,,,,,,0.000,0.000,INDUS,011,31,EHS,KAL,EHS-MOI
00817,15.21,10/29/2007,248.50,1960.71,57.983,,15.635,1.750,,,15.635,1.750,INDUS,011,28,COND-IIAIR,KAL,MOD
00832,15.23,10/24/2007,263.00,2089.41,41.443,,,,,,0.000,0.000,INDUS,011,31,EHS,KAL,EHS-MOI
00833,15.24,10/21/2007,263.00,1988.26,55.935,,,,,,0.000,0.000,GA,008,19,EHS,KAL,
00836,15.17,11/5/2007,264.00,2063.00,273.366,,,,,,0.000,0.000,FOE,013,9,LINE_03,LAC,SUP-MEDICA
00851,14.48,7/21/2008,264.00,1983.58,50.838,,,,,,0.000,0.000,INDUS,011,31,EHS,KAL,EHS-MOI
00856,14.99,1/18/2008,260.00,2040.33,84.359,,263.143,19.920,,,263.143,19.920,INDUS,011,28,FABRIQUANT,KAL,MOD
00859,15.00,1/17/2008,255.04,1963.93,81.834,,482.162,36.880,,,482.162,36.880,INDUS,011,28,FABRIQUANT,KAL,MOD
00895,14.70,5/2/2008,264.00,2250.87,66.864,,99.005,9.320,1278.878,107.650,1377.883,116.970,INDUS,004,15,WAREHOUSE,KAL,MAG
00902,14.68,5/12/2008,247.00,1933.46,37.285,,,,48.512,7.250,48.512,7.250,INDUS,011,28,COND-IIAIR,KAL,MOD
00927,14.50,7/16/2008,255.50,2013.17,39.194,,,,,,0.000,0.000,INDUS,011,31,EHS,KAL,EHS-MOI
00954,14.39,8/25/2008,244.00,1908.64,71.573,,,,,,0.000,0.000,INDUS,009,32,CQ,KAL,
00957,14.15,11/19/2008,258.00,2088.41,77.025,,45.080,3.500,561.379,38.850,606.459,42.350,INDUS,011,30,MNT,KAL,MAINT-MOI
00961,14.15,11/20/2008,264.00,2100.26,75.288,,,,,,0.000,0.000,INDUS,011,28,FABRIQUANT,KAL,MOD
00964,14.25,10/16/2008,262.00,2321.77,68.719,,2087.616,194.250,283.178,23.700,2370.794,217.950,INDUS,009,32,CQ,KAL,
00966,14.25,10/15/2008,260.50,2116.69,53.294,,,,,,0.000,0.000,INDUS,011,28,DIR-INDUS,KAL,MOI
01002,13.96,1/27/2009,264.00,2039.00,174.132,,,,,,0.000,0.000,FOE,013,9,LINE_06,LAC,DELEGUE
01004,13.97,1/26/2009,259.00,2030.00,196.122,,,,,,0.000,0.000,FOE,013,9,LINE_04,LAC,
01010,13.96,1/29/2009,251.00,1974.17,47.960,,,,,,0.000,0.000,INDUS,011,28,DIR-INDUS,KAL,MOI
01030,13.77,4/9/2009,241.00,2020.92,55.557,,482.170,53.250,356.366,31.410,838.536,84.660,INDUS,011,30,MNT,KAL,MAINT-MOI
01033,13.74,4/17/2009,261.00,2111.00,165.708,,,,,,0.000,0.000,FOE,013,9,LINE_07,LAC,VISIT-MEDI
01045,13.69,5/6/2009,261.50,2093.50,39.222,,,,110.715,14.900,110.715,14.900,INDUS,011,28,FABRIQUANT,KAL,MOD
01046,13.69,5/6/2009,235.00,1805.96,34.619,,,,46.964,7.000,46.964,7.000,INDUS,011,28,COND-IIAIR,KAL,MOD
01055,12.88,5/21/2009,66.00,710.07,15.009,,847.541,90.750,912.582,85.500,1760.123,176.250,GA,002,23,DAF,KAL,
01065,13.62,6/1/2009,264.00,2155.87,567.156,,,,,,0.000,0.000,RD,005,11,BUSDEV,KAL,
