Matricule,AUT (h),Jours travaillés,Heures travaillées,Heures SUP 75%,Heures SUP SAMEDI,HEURE SUP DIMANCHE,Missions (h),Formations (h),Congés payés (h),MALADIE,Maternité,DECES 3J,NAISSANCE2/DECES2,Sanctions,mariage,Absence autorisée rémunérée,Congé sans solde,RCJ/RCA,Accidents,ABSENCE NON JUSTIFIE,Circoncision enfant,Service,Sous service,Section analytique,Site courant,Direction,Emploi type,Sexe du salarié
00957,,18.30,179.93,,,,4.50,,18.00,,,,,,,,,,,,,DIR. INDUSTRIELLE,MAINTENANCE,MNT,KAL,INDUS,MAINT-MOI,Masculin
00961,,21.00,190.97,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Masculin
00964,2.00,19.78,185.24,7.50,,,,,9.00,,,,,,,,,,,,,DIR. MANAGEMENT QUALITE,CONTROLE QUALITE,CQ,KAL,INDUS,,Masculin
00966,,21.00,192.12,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOI,Masculin
01002,,21.00,189.00,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_06,LAC,FOE,DELEGUE,Féminin
01004,,20.00,180.00,,,,,,9.00,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_04,LAC,FOE,,Féminin
01010,,21.00,192.12,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,DIR-INDUS,KAL,INDUS,MOI,Féminin
01030,1.00,16.29,165.23,2.00,6.75,,31.50,,4.50,,,,,,,,,,,,,DIR. INDUSTRIELLE,MAINTENANCE,MNT,KAL,INDUS,MAINT-MOI,Masculin
01033,,20.00,180.00,,,,,,9.00,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_07,LAC,FOE,VISIT-MEDI,Masculin
01045,2.00,20.78,188.93,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Féminin
01046,2.00,19.78,188.32,,,,,,9.00,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
01065,,21.00,189.27,,,,,,,,,,,,,,,,,,,DIR. DEVELOPPEMENT ,DEVELOPPEMENT,BUSDEV,KAL,RD,,Masculin
01077,2.00,20.11,183.97,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Masculin
01089,,20.98,198.32,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
01105,1.00,19.89,185.39,,4.50,,,,9.00,,,,,,,,,,,,,DIR. LOGISTIQUE,MAGASINS,WAREHOUSE,KAL,INDUS,MAG,Masculin
01116,,9.98,91.85,,,,,,,131.00,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
01120,4.00,18.48,168.66,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,FABRIQUANT,KAL,INDUS,MOD,Féminin
01127,,13.04,117.27,,,,,,9.00,,,,,,,,,,,,,DIR. SYSTEME D'INFORMATION,SYSTEME D'INFORMATION,ITM,KAL,GA,,Féminin
01129,1.00,19.89,180.68,,4.25,,,,9.00,,,,,,,,,,,,,DIR. LOGISTIQUE,MAGASINS,WAREHOUSE,KAL,INDUS,MAG,Masculin
01135,,20.98,198.94,,6.75,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
01137,,21.00,189.00,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_02,LAC,FOE,DELEGUE,Féminin
01141,,21.00,189.00,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_04,LAC,FOE,VISIT-MEDI,Féminin
01160,,21.00,189.00,,,,,,,,,,,,,,,,,,,DIR. DES OPERATIONS,VISITE MEDICALE,LINE_02,LAC,FOE,DELEGUE,Masculin
01181,2.00,18.78,179.82,,,,,,,,,,,,,18.00,,,,,,DIR. INDUSTRIELLE,MAINTENANCE,MNT,KAL,INDUS,MAINT-MOI,Masculin
01198,1.00,19.34,181.75,,,,,,,,,,,,,,,,,,,DIR. INDUSTRIELLE,PRODUCTION,COND-IIAIR,KAL,INDUS,MOD,Féminin
