,HS JANV-DEC 2023,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Matricule,Ancienneté,Date d'ancienneté,N-J-W,HEURES TRAVAILLES,taux horaire,Sal_ Brut,HSUP75,NBREHS75,HSUP100,NBREHS100,TOTAL COST,TOTAL HS,DIRECTION II,Direction,Sous-service,Section analytique,Site,Emploi type
00530,11.97,1/23/2012,263.00,2046.92,106.680,,267.948,16.250,138.993,8.000,406.941,24.250,INDUS,011,28,FABRIQUANT,KAL,MOD
00574,15.06,12/22/2008,264.00,2045.50,569.109,,,,,,0.000,0.000,INDUS,004,26,LOGISTIQUE,KAL,DIRECTEUR
00621,18.27,10/10/2005,258.00,2035.70,81.519,,,,,,0.000,0.000,INDUS,009,33,LOGISTIQUE,KAL,
00669,17.79,4/3/2006,66.00,1991.00,40.950,,,,,,0.000,0.000,FOE,013,9,LINE_04,LAC,VISIT-MEDI
00669,17.79,4/3/2006,193.00,1991.00,126.783,,,,,,0.000,0.000,FOE,013,9,LINE_04,LAC,VISIT-MEDI
00676,17.69,5/9/2006,264.00,2064.18,62.361,,,,76.041,7.500,76.041,7.500,INDUS,014,13,PRT,KAL,
00677,15.23,10/21/2008,180.00,1890.56,34.317,,121.585,15.500,38.658,4.250,160.243,19.750,INDUS,011,31,EHS,KAL,EHS-MOI
00677,15.23,10/21/2008,44.00,1890.56,8.526,,9.949,1.250,113.700,12.500,123.649,13.750,INDUS,011,31,EHS,KAL,EHS-MOI
00712,17.39,8/29/2006,242.00,1705.55,68.054,,14.892,1.250,,,14.892,1.250,INDUS,004,15,WAREHOUSE,KAL,RMG
00717,17.41,8/21/2006,168.75,1227.31,52.446,,,,107.639,7.750,107.639,7.750,INDUS,009,32,CQ,KAL,ANA
00718,17.41,8/21/2006,251.50,1840.94,188.320,,,,,,0.000,0.000,SHO,013,24,LOGISTIQUE,LAC,
00718,17.41,8/21/2006,,1840.94,,,,,,,0.000,0.000,GA,002,8,LOGISTIQUE,LAC,
00759,17.00,1/15/2007,192.00,1522.10,54.324,,85.129,8.000,176.338,14.500,261.467,22.500,INDUS,011,28,FABRIQUANT,KAL,MOD
00804,16.57,6/21/2007,263.00,1901.64,43.821,,14.083,2.000,60.763,8.000,74.846,10.000,INDUS,011,31,EHS,KAL,EHS-MOI
00817,16.22,10/29/2007,259.50,1995.36,70.903,,,,,,0.000,0.000,INDUS,011,28,COND-IIAIR,KAL,MOD
00832,16.23,10/24/2007,261.00,1965.89,47.252,,51.618,7.250,172.668,20.250,224.286,27.500,INDUS,011,31,EHS,KAL,EHS-MOI
00833,16.24,10/21/2007,66.00,1991.73,14.772,,,,,,0.000,0.000,GA,008,19,EHS,KAL,
00833,16.24,10/21/2007,198.00,1991.73,50.157,,,,,,0.000,0.000,INDUS,011,31,EHS,KAL,EHS-MOI
00851,15.49,7/21/2008,264.00,2131.67,61.221,,,,,,0.000,0.000,INDUS,011,31,EHS,KAL,EHS-MOI
00856,15.99,1/18/2008,257.00,2043.22,96.117,,931.382,62.500,,,931.382,62.500,INDUS,011,28,FABRIQUANT,KAL,MOD
00859,16.00,1/17/2008,259.00,2014.06,96.381,,286.172,18.580,,,286.172,18.580,INDUS,011,28,FABRIQUANT,KAL,MOD
00895,15.71,5/2/2008,264.00,2205.32,77.199,,106.667,9.000,1710.957,123.250,1817.624,132.250,INDUS,004,15,WAREHOUSE,KAL,MAG
00902,15.68,5/12/2008,226.00,1694.18,39.598,,,,,,0.000,0.000,INDUS,011,28,COND-IIAIR,KAL,MOD
00927,15.50,7/16/2008,256.50,1972.74,45.187,,,,30.226,4.000,30.226,4.000,INDUS,011,31,EHS,KAL,EHS-MOI
00954,15.39,8/25/2008,261.50,2090.64,91.195,,,,900.367,52.000,900.367,52.000,INDUS,009,32,CQ,KAL,
00957,15.15,11/19/2008,262.00,2076.82,90.135,,,,2460.227,150.470,2460.227,150.470,INDUS,011,30,MNT,KAL,MAINT-MOI
00961,15.15,11/20/2008,264.00,2067.08,86.880,,27.830,2.000,,,27.830,2.000,INDUS,011,28,FABRIQUANT,KAL,MOD
00964,15.25,10/16/2008,263.50,2225.27,79.767,,1722.456,138.500,892.977,62.750,2615.433,201.250,INDUS,009,32,CQ,KAL,
00966,15.25,10/15/2008,261.00,2025.25,58.955,,,,,,0.000,0.000,INDUS,011,28,DIR-INDUS,KAL,MOI
01002,14.96,1/27/2009,263.00,2043.50,194.186,,,,,,0.000,0.000,FOE,013,9,LINE_06,LAC,DELEGUE
01004,14.97,1/26/2009,66.00,2011.00,52.422,,,,,,0.000,0.000,FOE,013,9,LINE_04,LAC,
01004,14.97,1/26/2009,187.00,2011.00,164.059,,,,,,0.000,0.000,FOE,013,9,LINE_04,LAC,
01010,14.96,1/29/2009,255.00,2015.85,59.910,,,,,,0.000,0.000,INDUS,011,28,DIR-INDUS,KAL,MOI
01030,14.77,4/9/2009,260.50,1944.30,67.118,,152.618,14.250,385.553,32.000,538.171,46.250,INDUS,011,30,MNT,KAL,MAINT-MOI
01033,14.75,4/17/2009,264.00,2045.00,190.326,,,,,,0.000,0.000,FOE,013,9,LINE_07,LAC,VISIT-MEDI
01045,14.69,5/6/2009,261.00,2050.59,45.590,,26.007,4.000,105.885,14.250,131.892,18.250,INDUS,011,28,FABRIQUANT,KAL,MOD
01046,14.69,5/6/2009,245.00,1858.87,41.225,,,,,,0.000,0.000,INDUS,011,28,COND-IIAIR,KAL,MOD
01065,14.62,6/1/2009,264.00,2115.52,651.654,,,,,,0.000,0.000,RD,005,11,BUSDEV,KAL,
01077,3.07,12/7/2020,252.50,1955.88,31.573,,78.445,16.250,50.434,9.500,128.879,25.750,INDUS,011,28,FABRIQUANT,KAL,MOD
01089,14.40,8/19/2009,255.00,1974.11,41.679,,,,,,0.000,0.000,INDUS,011,28,COND-IIAIR,KAL,MOD
01105,14.24,10/19/2009,261.50,2197.02,65.972,,18.838,2.000,1348.194,115.000,1367.032,117.000,INDUS,004,15,WAREHOUSE,KAL,MAG
01116,5.86,2/26/2018,255.50,1995.13,34.691,,,,,,0.000,0.000,INDUS,011,28,COND-IIAIR,KAL,MOD
01120,14.17,11/11/2009,261.00,1986.70,42.306,,15.451,2.250,22.403,3.250,37.854,5.500,INDUS,011,28,FABRIQUANT,KAL,MOD
01123,14.14,11/25/2009,263.00,1852.94,114.545,,,,,,0.000,0.000,RD,005,11,DEVAMM,KAL,
01127,10.20,10/28/2013,134.94,777.34,155.829,,,,,,0.000,0.000,GA,007,25,ITM,KAL,
01129,14.04,12/29/2009,245.00,1969.41,66.678,,78.166,7.250,473.899,38.000,552.065,45.250,INDUS,004,15,WAREHOUSE,KAL,MAG
01135,14.00,1/14/2010,261.00,2006.52,41.473,,13.400,2.000,52.018,7.750,65.418,9.750,INDUS,011,28,COND-IIAIR,KAL,MOD
01137,14.03,1/4/2010,264.00,2045.00,206.424,,,,,,0.000,0.000,FOE,013,9,LINE_02,LAC,DELEGUE
01138,13.49,1/4/2010,118.00,850.00,49.683,,,,,,0.000,0.000,FOE,013,9,LINE_14,LAC,PHARMA
01138,14.03,1/4/2010,,850.00,,,,,,,0.000,0.000,FOE,013,9,LINE_14,LAC,PHARMA
01141,14.03,1/4/2010,264.00,2099.00,166.797,,,,,,0.000,0.000,FOE,013,9,LINE_04,LAC,VISIT-MEDI
